,model_name,f1
0,Pairwise_SGD,0.45538958417440456
1,Pairwise_RMS,0.4493357645220109
2,Pairwise_LARS,0.43033648790746587
3,Triplet_SGD,0.5578619615983395
4,Triplet_LARS,0.5221439021146429
5,Triplet_RMS,0.5142708873897249
6,InfoNCE_SGD,0.5081616269735082
7,InfoNCE_LARS,0.5065422982251586
8,Supervised_SGD,0.3835696535594212
9,Supervised_RMS,0.39258293495581637
10,Supervised_LARS,0.4883597883597884
11,InfoNCE_RMS,0.5106546854942233
12,Pretrained_Pairwise,0.3540066140931061
13,Pretrained_Triplet,0.4543749490336786
14,Pretrained_InfoNCE,0.47051575426861475
15,Baseline,0.47414607803429193
