,label,dist,epoch,set
0,1,0.4255742728710174,0.0,train
1,0,0.4951827824115753,0.0,train
2,1,0.8064526319503784,0.0,train
3,0,0.5556031465530396,0.0,train
4,1,0.9958626627922058,0.0,train
5,1,0.6050460338592529,0.0,train
6,0,1.0023373365402222,0.0,train
7,1,0.6128358840942383,0.0,train
8,0,1.154300332069397,0.0,train
9,0,0.8820335268974304,0.0,train
10,0,0.6456085443496704,0.0,train
11,0,0.9172824025154114,0.0,train
12,1,0.7040494084358215,0.0,train
13,1,0.6211580038070679,0.0,train
14,0,1.007475733757019,0.0,train
15,0,0.7259632349014282,0.0,train
16,0,0.5639262199401855,0.0,train
17,1,0.4191122353076935,0.0,train
18,0,0.5796430110931396,0.0,train
19,1,0.6682015657424927,0.0,train
20,1,0.5504205822944641,0.0,train
21,1,0.7918083667755127,0.0,train
22,0,0.5017635822296143,0.0,train
23,1,0.6062155365943909,0.0,train
24,1,1.0005782842636108,0.0,train
25,1,0.757611870765686,0.0,train
26,0,0.8024810552597046,0.0,train
27,0,0.8513096570968628,0.0,train
28,1,0.4924605786800384,0.0,train
29,1,0.7100030183792114,0.0,train
30,1,0.5951056480407715,0.0,train
31,0,0.798459529876709,0.0,train
32,1,0.5412652492523193,0.0,train
33,1,0.3282739520072937,0.0,train
34,1,0.5506277680397034,0.0,train
35,1,0.3679754436016083,0.0,train
36,0,0.5973686575889587,0.0,train
37,1,0.3066428005695343,0.0,train
38,0,0.738978922367096,0.0,train
39,1,0.5577564835548401,0.0,train
40,1,0.3537328839302063,0.0,train
41,0,0.5473499298095703,0.0,train
42,1,0.4006299078464508,0.0,train
43,1,0.4240297079086303,0.0,train
44,1,0.3119189739227295,0.0,train
45,1,0.4484154284000397,0.0,train
46,1,0.2915745079517364,0.0,train
47,1,0.4332955479621887,0.0,train
48,1,0.5049717426300049,0.0,train
49,0,0.5052123069763184,0.0,train
50,1,0.416973739862442,0.0,train
51,1,0.3504273295402527,0.0,train
52,0,0.5270611047744751,0.0,train
53,0,0.5725767016410828,0.0,train
54,0,0.5524717569351196,0.0,train
55,1,0.3093318939208984,0.0,train
56,0,0.4350907802581787,0.0,train
57,0,0.4224587082862854,0.0,train
58,1,0.5442876219749451,0.0,train
59,1,0.3854811787605285,0.0,train
60,1,0.3721964061260223,0.0,train
61,1,0.4029036462306976,0.0,train
62,0,0.4032095372676849,0.0,train
63,1,0.369678258895874,0.0,train
64,1,0.2772471904754638,0.0,train
65,1,0.4374058842658996,0.0,train
66,1,0.2682974934577942,0.0,train
67,1,0.4449626803398132,0.0,train
68,1,0.2634924948215484,0.0,train
69,1,0.2435081005096435,0.0,train
70,0,0.5857530832290649,0.0,train
71,1,0.3365763425827026,0.0,train
72,0,0.3540510535240173,0.0,train
73,1,0.6356425285339355,0.0,train
74,1,0.3414369225502014,0.0,train
75,1,0.3582627773284912,0.0,train
76,1,0.3493357002735138,0.0,train
77,1,0.345672070980072,0.0,train
78,0,0.3805741667747497,0.0,train
79,0,0.4606955647468567,0.0,train
80,1,0.2038948386907577,0.0,train
81,0,0.3056065738201141,0.0,train
82,0,0.3781628608703613,0.0,train
83,1,0.3089979290962219,0.0,train
84,0,0.5783311724662781,0.0,train
