model_name,Val,Test,noObf,randomObf,translationObf
Supervised_SGD,0.970819862389124,0.997691785471826,0.989349981637899,0.383569653559421,0.77695900363259
Supervised_RMS,0.970745231100261,0.997420230821453,0.983032091479159,0.392582934955816,0.777915632754342
Supervised_LARS,0.967403862023436,0.996609249966093,0.98529013626929,0.488359788359788,0.835561497326203
Pairwise_SGD,0.961393946901193,0.995929443690638,0.979024740050197,0.455389584174405,0.839973873285434
Pairwise_RMS,0.958976914133865,0.990803354070868,0.960344675986987,0.449335764522011,0.824103934396019
Pairwise_LARS,0.95696916884518,0.98999729656664,0.964244724993379,0.430336487907466,0.819263769720454
Triplet_SGD,0.967736618731715,0.99566630552546,0.989132403550081,0.557861961598339,0.881635715625586
Triplet_RMS,0.965391771759355,0.996476009758742,0.970413149711239,0.514270887389725,0.848098929494278
Triplet_LARS,0.9674887429256,0.996340967610787,0.989401213878069,0.522143902114643,0.869975467069258
InfoNCE_SGD,0.966439628482972,0.994972142954206,0.989580501947993,0.508161626973508,0.848397620418346
InfoNCE_RMS,0.963014942623627,0.995522995522996,0.971967607012548,0.510654685494223,0.830305300618093
InfoNCE_LARS,0.959920585680606,0.991425071457738,0.96347918136909,0.506542298225159,0.808290155440414
Pretrained_Pairwise,0.807720696781813,0.834457831325301,0.495778222460833,0.354006614093106,0.448860425692221
Pretrained_Triplet,0.932078991119581,0.970043935561177,0.725578276902447,0.454374949033679,0.622489429175476
Pretrained_InfoNCE,0.937362368485442,0.969568668960042,0.74910443648388,0.470515754268615,0.646335599972526
Baseline,0.957610549523691,0.991339648173207,0.957734128376008,0.474146078034292,0.828978398264315
