,model_name,f1
0,Pairwise_SGD,0.9790247400501972
1,Pairwise_RMS,0.9603446759869867
2,Pairwise_LARS,0.9642447249933787
3,Triplet_SGD,0.9891324035500815
4,Triplet_LARS,0.9894012138780687
5,Triplet_RMS,0.9704131497112395
6,InfoNCE_SGD,0.9895805019479931
7,InfoNCE_LARS,0.9634791813690896
8,Supervised_SGD,0.9893499816378994
9,Supervised_RMS,0.9830320914791589
10,Supervised_LARS,0.9852901362692899
11,InfoNCE_RMS,0.9719676070125478
12,Pretrained_Pairwise,0.49577822246083264
13,Pretrained_Triplet,0.7255782769024473
14,Pretrained_InfoNCE,0.7491044364838799
15,Baseline,0.9577341283760085
