model_name,Val,Test,noObf,randomObf,translationObf
Supervised_SGD,0.995410114747131,0.999455930359086,0.986632484892877,0.238198983297023,0.637431880108992
Supervised_RMS,0.997025074373141,0.999183895538629,0.976011719465299,0.2460058097313,0.64066757493188
Supervised_LARS,0.996430089247769,0.999455930359086,0.999633766709394,0.335148874364561,0.745061307901907
Pairwise_SGD,0.989545261368466,0.998367791077258,1,0.30718954248366,0.766519073569482
Pairwise_RMS,0.981555461113472,0.996463547334059,1,0.31318082788671,0.76158038147139
Pairwise_LARS,0.980110497237569,0.996191512513602,1,0.29720406681191,0.756130790190736
Triplet_SGD,0.998130046748831,1,1,0.390341321713871,0.800408719346049
Triplet_RMS,0.992265193370166,1,1,0.359840232389252,0.782527247956403
Triplet_LARS,0.995325116872078,1,1,0.35639070442992,0.78508174386921
InfoNCE_SGD,0.994985125371866,0.995919477693145,1,0.344771241830065,0.752895095367847
InfoNCE_RMS,0.991500212494688,0.998095756256801,1,0.361111111111111,0.754938692098093
InfoNCE_LARS,0.986315342116447,0.990750816104461,1,0.354938271604938,0.73058583106267
Pretrained_Pairwise,0.930131746706332,0.942056583242655,0.930049441494232,0.63162672476398,0.811648501362398
Pretrained_Triplet,0.97688057798555,0.991022850924918,0.990844167734847,0.505809731299927,0.802282016348774
Pretrained_InfoNCE,0.97688057798555,0.996735582154516,0.995605200512727,0.485294117647059,0.801260217983651
Baseline,0.978325541861453,0.996463547334059,1,0.318809005083515,0.748297002724796
