model_name,cutoff
Pairwise_SGD,0.9665843844413756
Pairwise_RMS,0.9684990644454956
Pairwise_LARS,0.9689927101135254
Triplet_SGD,0.633633017539978
Triplet_LARS,0.6587035059928894
Triplet_RMS,0.6891492009162903
InfoNCE_SGD,0.6293703317642212
InfoNCE_LARS,0.6171579957008362
Supervised_SGD,0.0436110943555831
Supervised_RMS,0.3763850331306457
Supervised_LARS,1.518322229385376
InfoNCE_RMS,0.5973794460296631
Pretrained_Pairwise,0.3185075521469116
Pretrained_Triplet,0.8459268808364868
Pretrained_InfoNCE,0.9256925582885742
