model_name,Val,Test,noObf,randomObf,translationObf
Supervised_SGD,0.947415257665237,0.995933857413933,0.992082489412631,0.984246061515379,0.994685091682169
Supervised_RMS,0.94581519109821,0.995662781241529,0.990154189113877,0.971326164874552,0.99
Supervised_LARS,0.940020848368214,0.993778739518529,0.97135231316726,0.899610136452242,0.951086956521739
Pairwise_SGD,0.93480006423639,0.993502977801841,0.95891132572432,0.8798751950078,0.928998968008256
Pairwise_RMS,0.937413751116162,0.985207100591716,0.923714479025711,0.794930875576037,0.897811684400723
Pairwise_LARS,0.934895411058862,0.983879634605051,0.930958063416297,0.77952380952381,0.893899738272599
Triplet_SGD,0.939139475367882,0.991370010787487,0.978498476975453,0.977272727272727,0.981210855949896
Triplet_RMS,0.939935587761675,0.992976769313884,0.94252675181222,0.900909090909091,0.92566478646253
Triplet_LARS,0.941167014949365,0.992708614636781,0.979024740050197,0.976131277971159,0.975454930173508
InfoNCE_SGD,0.939486356340289,0.994026608742873,0.979375896700143,0.965920651068159,0.971648351648352
InfoNCE_RMS,0.936120696573309,0.992963464140731,0.945463988919668,0.871603856266433,0.922388680815647
InfoNCE_LARS,0.934901708024492,0.992100245164805,0.929531914893617,0.884215287200362,0.9044908285895
Pretrained_Pairwise,0.713782532124454,0.748918685121107,0.337969124301304,0.245917862444334,0.310205675605311
Pretrained_Triplet,0.891206575682382,0.94993481095176,0.572350327903533,0.412435233160622,0.508527633851468
Pretrained_InfoNCE,0.900917143529043,0.943843379701185,0.600441744892325,0.456610864366245,0.541613905836307
Baseline,0.937754603226332,0.98626817447496,0.918896180380279,0.924697209057399,0.929160499048425
