Loss,Optimizer,Changes,Train 0,Train 1,Train 2,Train 3,Train 4,Validation 0,Validation 1,Validation 2,Validation 3,Validation 4
Pairwise,LARS,none,0.001013718321,0.0008466339632,0.0007923491657,0.0007549717673,0.0007252906064,0.00064713963,0.0006422095268,0.0006386471177,0.0006393876352,0.0006490165333
Pairwise,RMS,lr=0.00005,0.0009072916481,0.0007474667069,0.0006755743304,0.0006226972046,0.0005818563302,0.0006155841153,0.0006071282626,0.0006112576253,0.0006090484335,0.0006248008745
Pairwise,SGD,none,0.001065231646,0.0009201232144,0.0008646381566,0.0008307773108,0.0008053121817,0.0006497019444,0.0006391644187,0.000630148315,0.0006277668067,0.0006167993407
Triplet,LARS,lr=0.005,0.005732708868,0.005200492659,0.005033902531,0.004929434351,0.004884115585,0.004356213914,0.004287537064,0.00425437981,0.004231722038,0.004212265388
Triplet,RMS,lr=0.00005,0.004795426589,0.004445879511,0.004285159097,0.004219008837,0.004173238911,0.004269438193,0.004177416282,0.004279500415,0.004238878132,0.004301973307
InfoNCE,SGD,"running, lr=0.05",,,,,,,,,,
InfoNCE,LARS,lr=0.005,0.02288152963,0.02188899184,0.02107267882,0.0205787419,0.02017751496,0.01981925855,0.01895532976,0.01857214108,0.01834404061,0.01808152397
InfoNCE,RMS,lr=0.00005,0.0191768489,0.01777473989,0.01696677394,0.01662066227,0.01634377819,0.0179196615,0.01739602987,0.01786935789,0.01798365838,0.01819347974
